student_id,gender,age,parent_education,attendance_rate,study_hours,previous_gpa,final_grade,assignment_score_avg,exam_score_avg,class_participation,late_submissions,previous_gpa_sem1,previous_gpa_sem2
S20173,Male,24,High School,0.69,7.3,5.07,73.9,74.5,87.6,7.6,3,4.74,5.51
S20174,Female,22,High School,0.95,3.0,6.35,74.9,61.7,55.2,10.0,1,6.14,6.65
S20175,Male,18,PhD,0.63,5.7,9.42,63.7,62.2,80.5,7.4,3,9.24,9.99
S20176,Male,17,Bachelor,0.77,6.4,8.11,77.1,74.6,88.6,8.3,3,7.53,8.48
S20177,Male,22,PhD,0.8,7.0,8.08,85.6,90.5,88.3,9.8,3,7.42,8.42
S20178,Female,20,Bachelor,0.74,7.9,8.11,87.0,78.5,100.0,8.0,2,7.47,8.73
S20179,Female,23,High School,0.67,5.5,7.74,60.4,66.2,82.1,8.5,5,7.28,8.36
S20180,Male,20,PhD,0.71,6.6,6.58,69.3,78.5,85.9,8.2,4,6.2,7.13
S20181,Male,24,High School,0.78,6.6,7.07,85.1,79.3,100.0,8.7,3,6.5,7.57
S20182,Female,22,Bachelor,0.77,2.8,5.64,50.2,46.8,47.4,8.3,3,5.39,6.29
S20183,Female,23,High School,0.94,6.7,6.59,85.4,83.3,89.5,10.0,0,6.59,6.64
S20184,Female,22,Master,0.72,2.3,6.59,54.6,56.4,46.6,8.6,3,6.19,7.0
S20185,Female,17,Master,0.79,3.4,5.73,50.5,50.6,56.7,8.1,2,5.33,5.8
S20186,Male,19,Master,0.98,1.2,8.93,61.4,51.0,50.0,10.0,0,8.81,9.56
S20187,Male,20,PhD,0.76,6.3,8.17,72.4,71.6,90.4,9.1,3,8.05,8.28
S20188,Female,23,PhD,0.89,7.2,5.16,72.7,94.8,74.1,10.0,2,4.82,5.51
S20189,Male,19,PhD,0.93,1.9,6.01,62.8,59.6,34.6,10.0,0,5.92,6.15
S20190,Male,21,High School,0.62,3.1,9.46,67.6,51.2,77.7,6.2,3,8.85,10.0
S20191,Male,20,High School,0.72,4.9,6.99,75.9,65.2,71.1,9.1,2,6.82,7.36
S20192,Female,24,High School,0.98,1.6,9.95,78.7,52.7,77.3,10.0,2,9.57,10.0
S20193,Female,21,Bachelor,0.83,4.1,7.83,71.5,70.0,71.7,8.4,2,7.45,8.21
S20194,Female,22,Bachelor,0.67,3.3,7.58,51.0,54.0,56.8,7.7,5,7.43,8.02
S20195,Female,19,Master,0.66,1.1,9.0,49.7,35.6,49.9,8.4,5,8.49,9.38
S20196,Female,18,Bachelor,0.67,5.4,8.72,75.1,70.6,100.0,7.7,4,8.11,8.93
S20197,Male,23,PhD,0.97,4.6,9.52,79.8,73.0,81.2,10.0,2,8.99,10.0
S20198,Female,22,Master,0.66,6.6,8.82,73.3,65.7,100.0,8.1,4,8.53,8.99
S20199,Male,24,Bachelor,0.93,3.5,6.38,75.6,69.7,52.4,10.0,0,6.32,6.82
S20200,Female,22,Master,0.85,3.6,7.53,66.5,61.7,65.6,10.0,1,7.32,8.2
S20201,Female,20,PhD,0.99,5.7,8.1,81.3,80.6,78.0,10.0,1,7.52,8.62
S20202,Male,20,High School,0.88,7.4,8.44,93.1,91.7,100.0,10.0,1,8.14,9.08
S20203,Male,21,Bachelor,0.75,2.7,8.17,55.9,48.3,66.1,8.6,4,8.08,8.4
S20204,Female,23,High School,0.67,3.2,9.06,57.9,49.1,86.7,7.4,3,8.49,9.37
S20205,Female,21,Master,0.99,2.0,9.27,73.4,68.1,78.4,10.0,2,8.88,9.94
S20206,Female,17,Master,0.68,6.6,5.69,73.1,80.0,85.4,8.6,3,5.16,6.07
S20207,Male,23,High School,0.87,1.8,7.23,64.7,64.5,45.1,8.8,2,7.06,7.31
S20208,Female,17,Master,0.93,6.6,9.43,94.8,93.3,100.0,9.6,2,9.4,9.82
S20209,Male,19,High School,1.0,3.5,6.59,70.2,66.9,60.7,10.0,1,6.55,6.86
S20210,Male,22,Master,0.73,1.3,6.32,48.9,42.0,46.2,7.6,4,5.65,6.49
S20211,Female,20,Bachelor,0.68,1.7,8.84,52.8,44.6,57.4,7.1,4,8.41,9.28
S20212,Female,19,PhD,0.69,4.1,7.03,51.4,64.9,49.1,7.6,4,6.95,7.48
S20213,Female,17,Master,0.73,7.7,8.03,89.2,81.5,100.0,7.9,2,7.58,8.71
S20214,Female,21,PhD,0.62,2.9,8.06,59.0,50.9,54.5,6.8,4,7.73,8.66
S20215,Male,18,High School,0.85,4.8,5.59,74.1,82.9,62.3,10.0,1,5.29,5.83
S20216,Male,19,High School,0.87,2.3,9.74,71.3,56.3,62.6,10.0,1,9.69,9.96
S20217,Female,20,High School,0.75,7.6,9.3,90.8,79.9,100.0,9.5,2,9.21,9.65
S20218,Male,24,High School,0.88,3.7,7.01,69.4,64.4,63.7,9.2,2,6.55,7.62
S20219,Female,24,Bachelor,0.63,3.6,5.6,39.7,49.8,52.5,6.8,5,4.93,5.67
S20220,Female,18,Master,0.75,6.4,5.93,75.9,78.9,79.9,9.4,2,5.76,6.31
S20221,Male,19,Master,0.74,4.8,8.53,72.5,56.3,87.9,8.8,3,7.89,8.84
S20222,Female,23,High School,0.63,2.3,8.37,50.7,52.2,58.2,6.4,5,8.35,8.47
S20223,Male,19,Bachelor,0.93,3.6,6.15,70.5,63.8,65.6,10.0,1,5.75,6.5
S20224,Female,22,High School,0.87,6.7,7.53,90.7,86.5,96.6,9.8,1,7.28,8.14
S20225,Female,21,PhD,0.7,1.3,8.84,60.1,42.8,64.2,7.5,5,8.4,8.87
S20226,Female,21,High School,0.71,5.1,6.76,77.9,68.3,88.0,8.9,2,6.6,7.18
S20227,Male,24,PhD,0.95,1.8,8.09,66.5,54.3,60.7,10.0,2,7.89,8.38
S20228,Female,20,High School,0.89,3.4,8.89,66.8,73.8,70.4,9.2,3,8.24,9.12
S20229,Male,19,PhD,0.63,3.0,6.72,50.1,52.4,58.3,6.7,3,6.45,7.12
S20230,Male,22,Bachelor,0.75,6.8,7.54,75.9,80.2,85.2,7.5,2,7.13,7.73
S20231,Female,22,Bachelor,0.66,7.8,9.72,81.8,77.1,100.0,6.8,5,9.26,9.83
S20232,Female,20,High School,0.7,6.4,6.63,70.8,76.3,91.6,7.6,4,6.11,6.75
S20233,Female,21,High School,0.88,5.5,6.96,85.9,79.6,90.4,10.0,2,6.3,7.48
S20234,Male,23,Master,0.73,3.6,8.68,66.9,49.5,78.8,7.9,3,8.19,8.87
S20235,Female,21,Bachelor,0.97,7.9,8.62,92.4,93.9,100.0,10.0,2,8.18,9.26
S20236,Female,21,Master,0.63,7.2,9.68,75.5,74.0,100.0,7.2,5,9.19,9.98
S20237,Female,20,High School,0.97,3.0,8.13,65.6,67.8,56.5,10.0,0,7.63,8.13
S20238,Female,24,High School,0.61,4.5,5.11,61.0,58.0,75.9,6.7,4,4.91,5.48
S20239,Female,17,Master,0.84,4.1,7.51,76.1,71.3,68.6,10.0,2,7.38,7.65
S20240,Male,23,High School,0.91,1.6,6.05,69.0,67.8,42.0,10.0,1,5.64,6.09
S20241,Male,18,PhD,0.91,6.2,5.92,80.2,91.7,74.3,10.0,0,5.26,6.31
S20242,Female,18,PhD,0.65,6.9,8.73,77.6,74.0,92.5,7.1,3,8.69,9.02
S20243,Male,23,High School,0.97,2.3,6.84,73.9,67.5,63.2,10.0,1,6.3,7.02
S20244,Female,22,Bachelor,0.71,2.4,6.16,53.1,53.1,60.1,7.1,3,5.57,6.46
S20245,Female,17,PhD,0.82,7.9,9.81,91.1,89.8,100.0,9.7,1,9.53,10.0
S20246,Male,18,High School,0.95,7.0,8.07,90.8,90.6,100.0,10.0,2,7.37,8.16
S20247,Male,19,Bachelor,0.8,1.5,9.8,63.9,41.6,72.2,9.0,1,9.14,10.0
S20248,Male,20,Bachelor,0.74,6.9,9.94,83.1,82.2,90.5,8.7,4,9.38,9.95
S20249,Female,19,High School,0.76,2.7,8.15,62.1,62.3,47.5,9.4,2,8.05,8.22
S20250,Male,18,Master,0.95,7.8,8.08,96.8,98.5,100.0,10.0,2,8.01,8.18
S20251,Female,21,Master,0.72,3.2,8.73,66.7,52.7,69.2,8.9,4,8.39,9.06
S20252,Male,18,Master,0.82,5.8,9.52,86.6,79.7,100.0,8.8,3,9.39,9.96
S20253,Male,19,High School,0.68,1.9,8.82,67.2,38.6,69.3,8.3,4,8.75,9.34
S20254,Female,21,Bachelor,0.73,2.9,5.8,47.7,50.6,45.4,8.0,4,5.51,5.81
S20255,Female,23,Bachelor,0.62,5.9,9.58,77.4,65.3,94.4,6.6,4,9.17,10.0
S20256,Female,20,PhD,0.98,5.5,6.09,80.7,83.0,76.1,10.0,1,5.81,6.11
S20257,Female,19,PhD,0.67,6.9,9.05,74.2,66.2,93.8,7.1,5,8.91,9.5
S20258,Female,22,Master,0.66,6.7,5.55,70.1,82.0,87.4,6.9,3,5.1,5.84
S20259,Female,24,PhD,0.61,5.0,8.05,67.1,50.7,85.3,7.1,3,7.6,8.19
S20260,Female,24,High School,0.66,2.0,7.32,50.9,42.6,53.2,7.6,4,7.15,7.56
S20261,Male,19,PhD,0.93,5.7,5.15,85.6,87.6,73.0,9.5,0,4.49,5.51
S20262,Male,20,Master,0.81,6.5,5.72,77.4,80.9,74.7,9.2,1,5.18,6.04
S20263,Male,18,High School,0.62,5.6,5.22,63.3,68.0,79.8,8.2,4,5.08,5.86
S20264,Female,24,Bachelor,0.84,2.6,9.98,68.0,60.8,80.9,9.6,3,9.89,10.0
S20265,Female,23,High School,0.91,1.8,6.09,70.2,67.2,56.7,9.2,0,5.8,6.11
S20266,Male,20,Master,0.68,1.9,8.98,47.5,41.4,61.0,7.1,4,8.96,9.42
S20267,Female,18,PhD,0.87,1.1,5.84,54.3,49.3,33.9,10.0,3,5.38,5.93
S20268,Female,21,Bachelor,0.7,1.9,6.12,53.7,45.6,49.2,8.3,3,5.73,6.39
S20269,Female,17,PhD,0.76,7.5,5.1,74.1,74.8,88.9,7.7,3,4.41,5.7
S20270,Female,22,Bachelor,0.97,1.7,8.39,68.7,64.8,57.8,10.0,1,8.3,8.94
